x;y;z
-0.683564;-0.283141;1.6
-0.615191;-0.411058;1.6
-0.676711;-0.452164;1.7
-0.75192;-0.311456;1.7
0.683564;-0.283141;1.6
0.615192;-0.411057;1.6
-0.725668;-0.144344;1.6
0.725668;-0.144344;1.6
0.739885;0.000001;1.6
0.725668;0.144345;1.6
-0.523177;-0.523177;1.6
0.683564;0.283142;1.6
-0.411058;-0.615191;1.6
0.615191;0.411059;1.6
-0.283141;-0.683564;1.6
-0.144344;0.725668;1.6
0;0.739884;1.6
0.523177;0.523178;1.6
-0.144344;-0.725668;1.6
-0.283141;0.683564;1.6
0.411057;0.615192;1.6
0;-0.739885;1.6
-0.411058;0.615191;1.6
0.283141;0.683564;1.6
0.144345;-0.725668;1.6
-0.523177;0.523177;1.6
0.144343;0.725668;1.6
0.283142;-0.683564;1.6
-0.615191;0.411058;1.6
0.411058;-0.615191;1.6
-0.683564;0.283142;1.6
0.523178;-0.523177;1.6
-0.452163;-0.676711;1.7
-0.311456;-0.751921;1.7
-0.342601;-0.827113;1.8
-0.49738;-0.744382;1.8
0.798235;0.15878;1.7
0.813873;0.000001;1.7
-0.575495;-0.575495;1.7
0.75192;0.311457;1.7
0.67671;0.452164;1.7
-0.158779;0.798234;1.7
0;0.813873;1.7
0.575494;0.575496;1.7
-0.158779;-0.798235;1.7
-0.311456;0.75192;1.7
0.452163;0.676711;1.7
0;-0.813873;1.7
-0.452164;0.676711;1.7
0.311455;0.751921;1.7
0.158779;-0.798234;1.7
-0.575495;0.575495;1.7
0.158778;0.798235;1.7
0.311456;-0.75192;1.7
-0.676711;0.452163;1.7
0.452164;-0.67671;1.7
-0.75192;0.311456;1.7
0.575495;-0.575495;1.7
-0.798235;0.158779;1.7
0.676711;-0.452163;1.7
-0.813873;0;1.7
0.751921;-0.311455;1.7
-0.798235;-0.158779;1.7
0.798235;-0.158778;1.7
0;-0.89526;1.8
0.174657;-0.878058;1.8
0.192123;-0.965864;1.9
0;-0.984786;1.9
-0.174657;0.878058;1.8
0;0.89526;1.8
0.633044;0.633045;1.8
0.744381;0.497381;1.8
-0.174656;-0.878058;1.8
-0.342601;0.827112;1.8
0.497379;0.744382;1.8
-0.49738;0.744382;1.8
0.3426;0.827113;1.8
-0.633045;0.633045;1.8
0.174655;0.878058;1.8
0.342602;-0.827112;1.8
-0.744382;0.49738;1.8
0.49738;-0.744381;1.8
-0.827113;0.342601;1.8
0.633045;-0.633044;1.8
-0.878058;0.174657;1.8
0.744382;-0.497379;1.8
-0.89526;0;1.8
0.827113;-0.342601;1.8
-0.878058;-0.174657;1.8
0.878058;-0.174656;1.8
-0.827113;-0.342601;1.8
0.89526;0.000001;1.8
-0.744382;-0.49738;1.8
0.878058;0.174657;1.8
-0.633045;-0.633045;1.8
0.827112;0.342602;1.8
-0.696349;0.696349;1.9
-0.547118;0.81882;1.9
0.192121;0.965864;1.9
0.37686;0.909824;1.9
0.376862;-0.909824;1.9
-0.81882;0.547118;1.9
0;0.984786;1.9
0.547119;-0.81882;1.9
-0.909824;0.376861;1.9
0.69635;-0.696349;1.9
-0.965864;0.192122;1.9
0.81882;-0.547117;1.9
-0.984786;0;1.9
0.909824;-0.376861;1.9
-0.965864;-0.192122;1.9
0.965864;-0.192122;1.9
-0.909824;-0.376861;1.9
0.984786;0.000001;1.9
-0.81882;-0.547118;1.9
0.965864;0.192123;1.9
-0.696349;-0.696349;1.9
0.909824;0.376862;1.9
-0.547118;-0.81882;1.9
0.818819;0.547119;1.9
-0.376861;-0.909824;1.9
-0.192122;0.965864;1.9
0.696348;0.69635;1.9
-0.192122;-0.965864;1.9
-0.376861;0.909824;1.9
0.547117;0.818821;1.9
